PredictedProbability|PredictedLabel
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
