PredictedProbability|PredictedLabel
0.3|0
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
0.7|1
